text,label,cleaned_text
Great product amazing quality,1,great product amazing quality
Terrible service never coming back,0,terrible service never coming back
The staff was very friendly and helpful,1,staff friendly helpful
Delivery was too slow disappointed,0,delivery slow disappointed
Fair price decent quality,2,fair price decent quality
Not as described poor quality product,0,described poor quality product
Excellent purchase highly recommend,1,excellent purchase highly recommend
Delicious food quick service,1,delicious food quick service
Poor customer support wasted my time,0,poor customer support wasted time
Nothing special just average,2,nothing special average
Product quality exceeded expectations,1,product quality exceeded expectations
Very rude staff attitude,0,rude staff attitude
Carefully packed delivered on time,1,carefully packed delivered time
Overpriced for the quality,0,overpriced quality
Easy to use website quick search,1,easy use website quick search
